URI (Extra in Zotero),Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,,,,,,,,,,,,,,,,Subject Date Span
jp_cite_00080,Wares,Subsequent Non-commercial Careers,Subsequent Commercial Careers,Transportation,Family,Sponsor,,,,,"Rhineland, Germany","Paris, France","Le Havre, France","New Orleans, Louisiana","Natchez, Mississippi","Vicksburg, Mississippi","Cincinnati, Ohio","Lexington, Kentucky","Richmond, Louisiana","Poznan, Poland","New York, New York","Boston, Massachusetts","Bangor, Maine","Baltimore, Maryland",Bavaria,"Chicago, Illinois","New England, USA","Leavenworth, Kansas","Camp Floyd, Utah","Denver, Colorado","Wyandotte, Kansas","Dittenhofen, Bavaria","Stockton, California","Sacramento, California","Demmelsdorf, Bavaria","Baiersdorf, Bavaria","Essen, Germany","Durkheim, Bavaria",Luxembourg,"La Grange, Georgia","West Point, Georgia","Otterberg, Germany","Lengnau, Switzerland",Pennsylvania,,,"Seessel, Henry","Kohn, Abraham","Spitz, Hyman","Rosenwald, Emanuel","Strauss, Philip","Rosenfield, Henry","Stix, Louis","Seligman, David","Seligman, Joseph","Heyman, Herman","Merz, Louis","Weis, Julius","Straus, Lazarus","Gimbel, Abraham","Bloomingdale, Benjamin","Guggenheim, Simon",,,,,,,,,,,,,,,,,,,,1820-1860
jp_cite_00081,Wares,,,,,,,,,,"Spanish Town, Jamaica",England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774
jp_cite_00082,Wares,Subsequent Commercial Careers,,,,,,,,,"Kaukauna, Wisconsin",Hungary,"Milwaukee, Wisconsin",Bavaria,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rich, A.W.","Silverman, Emanuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1870
jp_cite_00083,Routes,Cultural Exchange,,,,,,,,,"LaCrosse, Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00084,Wares,Cultural Exchange,,,,,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1870
jp_cite_00085,Contextual Resource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660-1914
jp_cite_00086,Religious Practices,Cultural Exchange,Victims of Crime,Subsequent Commercial Careers,,,,,,,United States of America,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Straus, Nathan","Straus, Isidor","Rosenwald, Julius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1920
jp_cite_00087,Contextual Resource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1962
jp_cite_00088,Wares,,,,,,,,,,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772-1881
jp_cite_00089,Wares,Cultural Exchange,Transportation,,,,,,,,"Linkova, Czech Republic","Pretoria, South Africa","Johannesburg, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1910
jp_cite_00090,Transportation,Subsequent Commercial Careers,Non-peddling Background,,,,,,,,Hungary,"New York, New York",Ohio,"Bessemer, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lefkovits, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1909
jp_cite_00091,Sponsor,,,,,,,,,,"Rhodes, Greece","Lumbumbashi, Democratic Republic of the Congo",South Africa,"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910-1940
jp_cite_00092,Literary or Artistic Depiction,Wares,Transportation,,,,,,,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912-1937
jp_cite_00093,Religious Practices,Cultural Exchange,,,,,,,,,"Texarkana, Texas",Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goldberg, Ch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1849
jp_cite_00094,Victims of Crime,Anti-Semitic Rhetoric,Cultural Exchange,,,,,,,,"Knyshin, Poland","Aiken, South Carolina","Dallas, Texas","Wylie, Texas",Poland,"Williamsport, Tennessee","Fairmount, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surasky, Abraham","Surasky, Benedict Morris","Dreeben, Solomon","Friedman, Samuel","Brown, Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1903
jp_cite_00095,Sponsor,Religious Practice,Subsequent Commercial Careers,,,,,,,,"Odessa, Ukraine","Atlanta, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eplan, Leon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1890
jp_cite_00096,Restrictions on Itinerant Commerce,Sponsor,Transportation,Subsequent Commercial Careers,,,,,,,"Hartford, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00097,Routes,Wares,Subsequent Commercial Careers,Non-peddling Background,,,,,,,Turkey,Poland,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898-1950
jp_cite_00098,Restrictions on Itinerant Commerce,Wares,,,,,,,,,Hungary,Russia,"Windber, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00099,Contextual Resource,Wares,,,,,,,,,Prussia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780-1849
jp_cite_00100,Sponsor,,,,,,,,,,"Montivideo, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920
jp_cite_00101,Sponsor,,,,,,,,,,Lithuania,"Montreal, Quebec","Lancaster, Ontario","Lanark, Ontario","Cornwall, Ontario","Kingston, Ontario","Sherbrooke, Quebec","Winnipeg, Manitoba","Sudbury, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855-1860
jp_cite_00102,Routes,,,,,,,,,,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00103,Victims of Crime,,,,,,,,,,"Cleveland, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903-1915
jp_cite_00104,Wares,Bartering,Anti-Semitic Rhetoric,,,,,,,,Morocco,"Belem, Brazil","Manaus, Brazil","Ceara, Brazil","Gurupa, Brazil","Cameta, Brazil","Macapa, Brazil","Breves, Brazil","Baiao, Brazil","Boim, Brazil","Aveiros, Brazil","Itaituba, Brazil","Borba, Brazil","Manicore, Brazil","Para, Brazil","Iquitos, Peru","Contamana, Peru","Yurimaguas, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1920
jp_cite_00105,Wares,Transportation,Sponsor,Cultural Exchange,Subsequent Commercial Careers,,,,,,Curacao,Poland,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1939
jp_cite_00106,Religious Practices,Non-peddling Background,Family,Subsequent Non-commercial Careers,,,,,,,"Plyskiv, Ukraine","Pittsburgh, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ben Sholem, Borukh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892-1952
jp_cite_00107,Transportation,Family,Subsequent Commercial Careers,,,,,,,,Ukraine,"Baltimore, Maryland","Philadephia, Pennsylvania",Texas,"Clarksburg, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00108,Transportation,Restrictions on Itinerant Commerce,Bartering,Wares,,,,,,,"Montreal, Quebec","Toronto, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867-1914
jp_cite_00109,Contextual Resource,Subsequent Commercial Careers,Family,,,,,,,,"Poznan, Poland","Tuscon, Arizona","Yuma, Arizona",Mexico,New Mexico,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1900
jp_cite_00110,Peddling Background,Non-peddling Background,Wares,Family,Sponsor,,,,,,Lithuania,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1940
jp_cite_00111,Subsequent Commercial Careers,,,,,,,,,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1920
jp_cite_00112,Wares,Routes,,,,,,,,,"Peiser, Poland","Bedford, England","Hull, England","Birmingham, England","Cambridge, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bentwich, Marks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1890
jp_cite_00113,Wares,Bartering,Transportation,Family,,,,,,,"Mulligan Township, Minnesota","Sleepy Eye, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Isaacs, Harris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897-1920
jp_cite_00114,Wares,Subsequent Commercial Careers,Restrictions on Itinerant Commerce,Sponsor,Family,Transportation,Religious Practices,,,,"San Francisco, California","El Dorado, California",Colorado,New Mexico,Utah,"Washoe County, Nevada","Clear Creek, California","Adler Gulch, California",,"Black Hills, South Dakota","Couer d'Alene, Idaho","Suwalk, Poland","Central City, Colorado","Cheyenne, Wyoming",,,,,,,,,,,,,,,,,,,,,,,"Goldstein, Isaac","Schnayder, Isadore","Rackovsky, Abraham","Goldwasser, Mike","Mears, Otto","Helbing, August","Aaron, Sam","Abrams, Levi","Schlesinger, Sigmund","Altman, Henry","Wasserman, Jacob","Sloss, Louis","Jastro, Harry","Sutro, Adolph","Guggenheim, Meyer",,,,,,,,,,,,,,,,,,,,,1840-1910
jp_cite_00115,Routes,Transportation,Religious Practice,Cultural Exchange,Wares,,,,,,"Heron Lake, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirschmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915-1940
jp_cite_00116,Transportation,Wares,Bartering,Subsequent Commercial Careers,Cultural Exchange,,,,,,"Amador, Minnesota","Isanti County, Minnesota","Cambridge, Minnesota","Mille Lacs County, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pienstein,Elayzer,"Lewis, Jack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1945
jp_cite_00117,Bartering,Wares,Transportation,Restrictions on Itinerant Commerce,,,,,,,"Zosle, Lithuania","Boston, Massachusetts","Concord, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berenson, Albert","Berenson, Louis","Lebowich, Louis Aron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875-1890
jp_cite_00118,Contextual Resource,Cultural Exchange,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812-1933
jp_cite_00119,Family,Peddling Background,Sponsor,Transportation,Subsequent Commercial Careers,Subsequent Non-commercial Careers,,,,,"Bauska, Latvia","Baltimore, Maryland",Ohio,"Moncure, North Carolina","Burlington, North Carolina","Union, South Carolina","Greer, South Carolina","Belton, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berlin, Phillip","Berelovits, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877-1950
jp_cite_00120,Literary or Artistic Depiction,,,,,,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1914
jp_cite_00121,Subsequent Commercial Careers,,,,,,,,,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1950
jp_cite_00122,Subsequent Commercial Careers,Restrictions on Itinerant Commerce,,,,,,,,,"Richmond, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raphael, Solomon","Palle, Solomon","Palle, Isaac","Samuel, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760-1800
jp_cite_00123,Religious Practices,Routes,,,,,,,,,"Baltimore, Maryland",Germany,"New Bern, North Carolina","Warrenton, Virginia",Pennsylvania,South Carolina,"Washington, DC","Alexandria, Virginia","Cumberland, Virginia","Charlottesville, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,"Polack, M.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836-1862
jp_cite_00124,Routes,Wares,Peddling Background,Subsequent Commercial Careers,,,,,,,"Saint Paul, Minnesota","Bemidji, Minnesota",Germany,Russia,Poland,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kaplan, Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1920
jp_cite_00125,Wares,Family,Subsequent Commercial Careers,,,,,,,,Galicia,"Richmond, Virginia","Chicago, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Czakczkes (Joel), Salomon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1914
jp_cite_00126,Family,Cultural Exchange,Anti-Semitic Rhetoric,,,,,,,,"Valdosta, Georgia",Germany,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ehrlich, George","Ehrlich, Abraham","Ehrlich, Michael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1900
jp_cite_00127,Routes,Subsequent Commercial Careers,Sponsor,,,,,,,,Russia,Latvia,Lithuania,Estonia,"London, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1914
jp_cite_00128,Subsequent Commercial Careers,Literary or Artistic Depiction,,,,,,,,,"Anderson, South Carolina",Russia,"New York, New York","Greenvile, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1940
jp_cite_00129,Contextual Resource,Peddling Background,Cultural Exchange,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,Family,Transportation,Sponsor,Religious Practices,Bartering,United States,Germany,"Easton, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1880
jp_cite_00130,Wares,Sponsor,Family,,,,,,,,Tennessee,"Paducah, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernheim, Isaac Wolfe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1888
jp_cite_00131,Cultural Exchange,Transportation,Wares,Family,,,,,,,"Schmieheim, Germany","Freiburg, Germany","New York, New York",Pennsylvania,"Paducah, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernheim, Isaac Wolfe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1888
jp_cite_00132,Family,Sponsor,Subsequent Commercial Careers,,,,,,,,"Baden, Germany","Paducah, Kentucky","New York, New York",Pennsylvania,"Philadelphia, Pennsylvania","Cincinatti, Ohio","Louisville, Kentucky","Pittsburgh, Pennsylvania","Cairo, Illinois","Hickman, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernheim, Isaac Wolfe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1888
jp_cite_00133,Literary or Artistic Depiction,Wares,Religious Practice,Cultural Exchange,Non-peddling Background,,,,,,"Eyshishok, Lithuania","Havana, Cuba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1940
jp_cite_00134,Literary or Artistic Depiction,Wares,Religious Practice,Cultural Exchange,Non-peddling Background,,,,,,"Eyshishok, Lithuania","Havana, Cuba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1940
jp_cite_00135,Routes,Non-peddling Background,Family,Wares,Bartering,Transportation,,,,,Austria,"New York, New York","Saint Louis, Missouri","Salt Lake City, Utah","Chicago, Illinois",Arizona,"Kamas, Utah","Coalville, Utah","Rockport, Utah",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloom, Abe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1920
jp_cite_00136,Bartering,Family,Wares,Transportation,Religious Practices,,,,,,Russia,"Vernal, Utah","Salt lake City, Utah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Steres, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1920
jp_cite_00137,Routes,,,,,,,,,,"Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernstein, Saul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872-1905
jp_cite_00138,Wares,Subsequent Commercial Careers,,,,,,,,,"Stillwater, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882
jp_cite_00139,Wares,Sponsor,Subsequent Commercial Careers,Family,,,,,,,"Kaunas, Lithuania","Portland, Maine","Minsk, Belarus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boxstein, Gerald",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889-1920
jp_cite_00140,Non-peddling Background,Subsequent Non-commercial Careers,Transportation,Wares,Victims of Crime,Subsequent Commercial Careers,,,,,"Poswol, Lithuania","Baltimore, Maryland","Harrison County, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernstein, Saul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889-1896
jp_cite_00141,Family,Wares,Subsequent Commercial Careers,,,,,,,,"Suwalki, Poland","Black Hawk, Colorado","Nevadaville, Colorado","Central City, Colorado","Caribou, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rittmaster, Alexander","Rachovsky, Abe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1890
jp_cite_00142,Wares,Transportation,Family,Subsequent Commercial Careers,Bartering,Non-peddling Background,,,,,"Suwalki, Poland","New York, New York","Black Hawk, Colorado","Nevadaville, Colorado","Central City, Colorado","Manchester, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rittmaster, Alexander","Rachovsky, Abe","Grimes, Judel","Shwayder, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846-1890
jp_cite_00143,Transportation,Wares,Family,Subsequent Commercial Careers,,,,,,,Poland,"Saint Catherines, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Feldman, Jack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925-1930
jp_cite_00144,Cultural Exchange,Wares,Transportation,Bartering,,,,,,,Ukraine,"Kitchener, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Papernick, A.J.","Coles, Benny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926-1936
jp_cite_00145,Transportation,Wares,Sponsor,Subsequent Commercial Careers,Cultural Exchange,,,,,,Germany,"Pittstown, Pennsylvania","Knoxville, Tennessee","Alsace, France","Baltimore, Maryland","Sevier County, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Balfeld, Jacob","Lavine, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1900
jp_cite_00146,Wares,Sponsor,Family,Subsequent Commercial Careers,,,,,,,Lithuania,"Baltimore, Maryland","Upper Tract, West Virginia","Berkley, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glaser, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1910
jp_cite_00147,Peddling Background,Wares,Anti-Semitic Rhetoric,Bartering,Restrictions on Itinerant Commerce,,,,,,Russia,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1920
jp_cite_00148,Sponsor,,,,,,,,,,"Borgentreich, Germany","Santa Fe, New Mexico","Saint Joseph, Missouri","Chihuahua, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812-1870
jp_cite_00149,Subsequent Commercial Careers,,,,,,,,,,"Obernbreit, Germany","McKinney, Texas","Weatherford, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanger, Lehman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852-1870
jp_cite_00150,Subsequent Commercial Careers,,,,,,,,,,"Obernbreit, Germany","McKinney, Texas","Dallas, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanger, Lehman","Smilowitz, Eli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852-1875
jp_cite_00151,Transportation,Subsequent Commercial Careers,,,,,,,,,"Sartatia, Mississippi","Greenwood, Mississippi","New Orleans, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kling, Abe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1859
jp_cite_00152,Wares,Bartering,,,,,,,,,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1914
jp_cite_00153,Wares,Cultural Exchange,,,,,,,,,Poland,Pennsylvania,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1940
jp_cite_00154,Religious Practices,Transportation,Cultural Exchange,,,,,,,,Germany,New Jersey,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hyman, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830-1848
jp_cite_00155,Literary or Artistic Depiction,Wares,Cultural Exchange,,,,,,,,Poland,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1900
jp_cite_00156,Peddling Background,Subsequent Commercial Careers,Cultural Exchange,,,,,,,,"Alsace, France","Lorraine, France",Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848-1880
jp_cite_00157,Wares,Restrictions on Itinerant Commerce,,,,,,,,,Netherlands,Bohemia,Germany,"Leiden, Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700-1750
jp_cite_00158,Cultural Exchange,Restrictions on Itinerant Commerce,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750-1814
jp_cite_00159,Cultural Exchange,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814-1870
jp_cite_00160,Cultural Exchange,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,Wares,,,,,,,Netherlands,Germany,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600-1700
jp_cite_00161,Wares,Bartering,Transportation,Subsequent Commercial Careers,,,,,,,"Teschenmoschel, Germany","Buerstadt, Germany","Long Creek, North Carolina","Lillington, North Carolina","Philadelphia, Pennsylvania","Wilmington, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1880
jp_cite_00162,Wares,Non-peddling Background,Routes,Family,,,,,,,Latvia,"Saint Paul, Minnesota","Calumet, Michigan",California,Oregon,"Chicago, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blumenfeld, David","Blumenfeld, Ben-Zion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863-1920
jp_cite_00163,Sponsor,,,,,,,,,,Europe,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1870
