Extra,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,Subject Date Span,geom
,WH5MHHT9,book,1980,"Breeden, James O",Advice among masters: the ideal in slave management in the Old South,,0313206589 9780313206580,,,,,1980,2/2/2015 19:41:44,2/2/2015 19:42:05,,,,,,,,Advice among masters,,,,,Greenwood Press,"Westport, Conn.",English,,,,,Open WorldCat,,<p>Does not directly mention peddlers; includes advice about not allowing slave to trade with outsiders</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WJD7DHFW,book,1957,"Schwab, Hermann",Jewish rural communities in Germany.,,,,,,,1957,4/7/2014 19:21:46,4/7/2014 19:21:46,,,,,,,,,,,,,Cooper Book Co.,London,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WNQFU76N,book,1980,"Shimoni, Gideon",Jews and Zionism: the South African experience (1910-1967),,0195701798 9780195701791,,,,,1980,4/22/2014 16:49:12,4/22/2014 16:49:12,,,,,,,,Jews and Zionism,,,,,Oxford University Press,Cape Town,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WRKPTG72,book,1983,"Shain, Milton",Jewry and Cape society: the origins and activities of the Jewish Board of Deputies for the Cape Colony,,062006529X 9780620065290,,,,,1983,4/14/2014 20:04:32,4/14/2014 20:04:32,,,,,,,,Jewry and Cape society,,,,,Historical Publication Society,Cape Town,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WVMPCR9G,bookSection,1992,"Sarna, Jonathan D","""A Sort of Paradise of the Hebrews"": The Lofty Vision of Cincnnati jews",Ethnic diversity and civic identity: patterns of conflict and cohesion in Cincinnati since 1820,0252018834  9780252018831,,,,,1992,4/22/2014 13:56:48,4/22/2014 13:58:48,,,,,,,,,,,,,University of Illinois Press,Urbana,English,,,,,Open WorldCat,,,,,,,"Shapiro, Henry D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X7QJSVVE,journalArticle,1971,"Saron, Gus",The Jews in Kruger's Republic,Jewish Affairs,,,,,,5/1/1971,4/1/2014 18:01:07,4/1/2014 18:02:59,,,,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XDQC4TPD,document,,,Isaac Waixel,,,,,,,,4/14/2015 18:05:05,5/14/2015 17:03:50,,,,,,,,,,,,,,,,,,,"Folder 23, Box 3, Lucy Dawidowicz papers, P-675, American Jewish Historical Society",,,"<p>Confirm inclusion, unclear why document is relevant/how it relates to peddlers. Filed under Dawidowicz. Finding aid for collection: http://findingaids.cjh.org/?pID=109169</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XI252NSM,journalArticle,1976,Association of Jewish Ex-Servicemen and Women,Cajex,Cajex.,,,,,,9/1/1976,5/7/2015 19:35:43,5/7/2015 19:37:27,,,,3,26,,,,,,,,,,English,,,,,Open WorldCat,,<p>Unclear from photocopy how this pertains to peddling</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XPG8BNSH,journalArticle,1969,"Chandler, Arthur D",The Role of Business in the United States: A Historical Survey,Daedalus,,,,,,1969,2/11/2015 22:10:22,2/11/2015 22:11:39,,23-40,,,98,,,,,,,,,,,,,,,,,"<p>Contextual resource. Does not appear to directly mention peddlers, but does deal with wholesalers, manufacturers...</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XQFCH22G,journalArticle,,"Bradlow, Edna",They Came Unto a Land: Jewish Immigration to South Africa in the Twentieth Century,Jewish Affairs,,,,,,,1/20/2015 22:18:56,1/20/2015 22:20:27,,,,8,30,,,,,,,,,,,,,,,,,"<p>Contextual resource, does not directly relate to peddlers, but does describe the immigrants as ""unskilled and physically weak.""</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XS5M3W9G,book,1966,"Barth, Fredrik",Models of social organization.,,,,,,,1966,3/25/2014 15:44:47,12/15/2014 19:08:33,,,,,,,,,,,,,Royal Anthropological Institute,London,English,,,,,Open WorldCat,,<p>No particular mention of peddlers - theoretical treatment of entrepreneurship and capitalism.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XW7AIKBV,book,1915,"Mitchell, William Bell","History of Stearns County, Minnesota",,,,,,,1915,3/4/2014 17:44:55,3/4/2014 17:44:55,,,,,,,,,,,,,"H.C. Cooper, Jr.",Chicago,English,,,,,Open WorldCat,,"<p>May be worth considering. Does not speak extensively about peddling days, but does provide example of peddler to prominent local businessman. Available for review in Hathi.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XWDSD3AW,document,,"Rutman, H. David","The Earliest Jewish Settlers in Ellenville, New York",,,,,,,,4/7/2014 21:04:06,5/14/2015 17:00:45,,,,,,,,,,,,,,,,,,,"SC 10565, American Jewish Archives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XX6PP7BN,thesis,1945,"Sajowitz, William","History of Reform Judaism in San Antonio, Texas, 1874-1945",,,,,,,11/18/1945,4/8/2014 17:15:28,4/8/2014 17:17:28,,,,,,,,,,,,,,"San Antonio, Texas",,,Master of Hebrew Letters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXKZERXR,book,1995,"Sarna, Jonathan D; Smith, Ellen; Combined Jewish Philanthropies of Greater Boston",The Jews of Boston: essays on the occasion of the centenary (1895-1995) of the Combined Jewish Philanthropies of Greater Boston,,1555532179 9781555532178,,,,"For almost 350 years, Jews have been part of Boston history, shaping the community and being shaped by it. Now, for the first time, a comprehensive, lavishly illustrated history of the Jews of Boston recounts their stories and marks their achievements. Comprising twelve essays by eleven expert scholars, The Jews of Boston traces the community from its early, tentative beginnings through its emergence in the 20th century as one of America's most influential Jewish communities. Six historical essays detail Boston's unique history as a late-developing but extraordinarily successful American Jewish community. Essays on Boston's synagogues, its Jewish neighborhoods, and its role in Zionism feature discussions by the new generation of American Jewish historians. Assessments of philanthropy, education, and intellectual life evaluate those movements' pioneering roles in the evolution of Jewish culture in Boston and America. Beautifully illustrated with more than 250 historic photographs, engravings, and documents - many of them published here for the first time - The Jews of Boston will serve for years to come as the reference work on Boston Jewish history.",1995,4/8/2014 18:58:39,4/8/2014 18:58:39,,,,,,,,The Jews of Boston,,,,,The Philanthropies; Distributed by Northeastern University press,Boston; Boston,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XZ2UVQ9W,book,1939,"Singer, Israel Joshua; Samuel, Maurice","East of Eden,",,,,,,,1939,4/29/2014 14:57:10,4/29/2014 14:57:10,,,,,,,,,,,,,A.A. Knopf,New York,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XZZ3SWZE,document,1978,"Schmier, Louis",Hellooo! Peddlerman!,,,,,,,9/13/1978,4/7/2014 17:34:46,5/14/2015 17:01:42,,,,,,,,,,,,,,,,,,,"SC 110005, American Jewish Archives",,,"<p>Strong contender. Paper compiled from several oral history interviews. Hits most main points of peddling experience, and contains colorful anecdotes. Better to try for this over other Schmier piece. Also published in <em>Ethnic Minorities in Gulf Coast Society.</em></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z2KF6UFJ,journalArticle,2000,"Schrire, Gwynne",Mostly Smouse? South African Jews and Their Occupations a Century Ago,Jewish Affairs,,,,,,2000,4/7/2014 19:47:31,4/7/2014 19:49:04,,9/15/2015,,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z4US9TSS,journalArticle,1970,"Saron, Gus",The Significance of South African Jewish History,Jewish Affairs,,,,,,3/1/1970,4/8/2014 14:54:42,4/8/2014 14:55:29,,,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z7WXEPS2,book,1913,"Ruppin, Arthur; Bentwich, Margery","The Jews of to-day,",,,,,,,1913,5/6/2014 15:37:38,5/6/2014 15:37:38,,,,,,,,,,,,,Holt,New York,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZAEMJEKT,book,1945,"Shillman, Bernard",A short history of the Jews in Ireland,,,,,,,1945,4/22/2014 15:31:11,4/22/2014 15:31:11,,,,,,,,,,,,,Printed by Cahill & co. ; for private distribution by Eason & son,Dublin; London,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZHQ9ISSK,book,1975,"Davitt, Michael",Within the pale: the true story of anti-Semitic persecutions in Russia,,0405067054 9780405067051,,,,,1975,3/17/2015 15:45:53,3/17/2015 15:45:53,,,,,,,,Within the pale,,,,,Arno Press,New York,English,,,,,Open WorldCat,,"<p>Contextual resource regarding treatment of Jews and economic conditions in Russian Empire, with focus on Bessarabia in included segment.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZJC69AIC,book,1964,"Roth, Cecil",A history of the Jews in England.,,,,,,,1964,5/28/2014 16:16:26,5/28/2014 16:16:26,,,,,,,,,,,,,Clarendon Press,Oxford,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZS3DZKEU,journalArticle,1946,"Rosenthal, Eric",Otto Landsberg,Jewish Affairs,,,,,,10/1/1946,5/11/2014 20:51:41,5/11/2014 21:04:46,,44-46,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZTAC82MX,journalArticle,1949,"Eby, Kermit",Grandfather Schwalm Had a Red Beard,The Phi Delta Kappan,,0031-7217,,http://www.jstor.org/stable/20331781,,1/1/1949,5/21/2015 19:21:34,5/21/2015 19:26:04,5/21/2015 19:21:34,181-185,,5,30,,The Phi Delta Kappan,,,,,,,,,Copyright © 1949 Phi Delta Kappa International,,,,JSTOR,,,,http://www.jstor.org/stable/pdfplus/10.2307/20331781.pdf?acceptTC=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZUSSN4IZ,book,1987,"Rubinstein, Hilary L","Chosen, the Jews in Australia",,0049940074 9780049940079 0049940082  9780049940086,,,,,1987,4/29/2014 20:37:33,4/29/2014 20:37:33,,,,,,,,,,,,,Allen & Unwin,Sydney,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZV4K27G2,document,1999,"Carey, Kyle",Finding Aid for Fall River (Massachusetts) Jewish Community Historical Collection,,,,,,,12/1/1999,2/11/2015 17:11:57,5/14/2015 16:59:40,,,,,,,,,,,,,,,,,,,"MC17/CJC, Fall River, Massachusetts Jewish Community Historical Collection, Archives of the Center for Jewish Culture",,,"<p>Highlighted finding aid. Unclear if collection offers more on peddlers. Note on copy says ""Follow up!""</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00001,WTP2HK6F,book,1907,"Abbott, G. F",Israel in Europe,,,,,,,1907,3/4/2014 17:36:20,11/18/2014 15:47:01,,,,,,,,,,,,,Macmillan and Co.,"London, New York",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Practices,Anti-Semitic Rhetoric,,,,,,,,,"Limerick, Ireland",Russia,Poland,Gemany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600-1907,POINT(-960742.586858884 6921825.217678591)|POINT(11724030.287269026 8747149.047572464)|POINT(2131226.7903913013 6785571.89784786)|POINT(1163458.5521707046 6650655.040248428)
jp_cite_00002,H8TIAGTA,document,1970,"Aberbach, Moses",German Jews in Baltimore,,,,,,,2/1/1970,10/13/2014 15:13:16,5/14/2015 16:42:43,,,,,,,,,,,,,,,eng,,,,"Vertical Files, Jewish Museum of Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation,,,,,,,,,,Western Pennsylvania,Maryland,Virginia,"Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1920,POINT(-8918976.110639907 4811126.640993009)|POINT(-8531667.282545565 4728227.689508769)|POINT(-8756045.408505542 4499434.498314741)|POINT(-8528429.900246715 4763352.471949581)
jp_cite_00003,KTK5S27E,book,1955,"Abrahams, Israel","The birth of a community: a history of Western Province Jewry from earliest times to the end of the South African War, 1902",,,,,,,1955,10/13/2014 15:19:45,11/18/2014 15:47:26,,,,,,,,,,,,,Cape Town Hebrew Congregation,Cape Town,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation,Cultural Exchange,Religious Practice,Wares,,,,,,,"Oudtshoorn, South Africa","Kimberley, South Africa","Cape Town, South Africa",Transvaal,Natal,Volhynia,Podolia,Kiev,Grodno,Vilna,Kovno,Suwalki,Courland,Ponevesz,Rietovo,Yanishik,Shavi,Plungyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1910,POINT(2471585.988729019 -3975313.990861327)|POINT(2757600.1916556275 -3342842.1087608873)|POINT(2050956.4540576176 -4018718.156683889)|POINT(1189831.83159222 6912750.164807112)|POINT(-3918548.04403133 -644437.6326495835)|POINT(2839574.6401499845 6446275.8401198285)|POINT(1978761.8013143572 6220405.1059174435)|POINT(3397849.344806422 6524593.220622882)|POINT(2652375.287150646 7108370.445235961)|POINT(2814117.9208877366 7301384.5836427)|POINT(-7974855.772407859 -3902635.89632412)|POINT(2552643.6544251265 7191305.542634782)|POINT(16836816.377580695 -4017579.193470064)|POINT(3877540.7488799645 3774347.704899736)|POINT(2441614.351295908 7503776.026997318)|POINT(2628660.3728286494 7605555.369843559)|POINT(7145103.364680743 3503014.2638252443)|POINT(2431819.5719413534 7540675.734231212)
jp_cite_00004,96WSHN5G,thesis,,"Abrahamsen, Samuel",Emancipation and Victimization of Jews of Denmark and Norway,,,,,,,,10/13/2014 15:32:54,4/8/2015 18:09:25,,,,,,,,,,,,,Brooklyn College,"Brooklyn, New York",eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anti-Semitic Rhetoric,Contextual Resource,,,,,,,,,Denmark,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814-1850,POINT(1057733.8676799273 7611135.067169358)|POINT(942758.756144498 8505587.037504934)
jp_cite_00005,JFQ4526E,journalArticle,1947,"Abramovitch, Hirsch",Rural Jewish Occupations in Lithuania,YIVO Annual of Jewish Social Science,,,,,,1947-1948,3/4/2014 18:23:53,11/18/2014 16:00:00,,,,,2/3/2015,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartering,Anti-Semitic Rhetoric,Victims of Crime,Wares,Transportation,,,,,,Kovno,Vilna,Grodno,Prussia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1918,POINT(-7974855.772407859 -3902635.89632412)|POINT(2814117.9208877366 7301384.5836427)|POINT(2652375.287150646 7108370.445235961)|POINT(-10520399.536502874 5067645.7573955925)
jp_cite_00006,56BB9R9W,book,1999,"Abramowicz, Hirsz; Shandler, Jeffrey; Fishman, David E",Profiles of a lost world: memoirs of East European Jewish life before World War II,,0814327842 9780814327845,,,,"""First published in a Yiddish edition in 1958, Profiles of a Lost World is an incomparable source of information about Eastern Europe before World War II as well as an invaluable touchstone for understanding a rich and complex cultural environment. Hirsz Abramowicz (1881-1960), a prominent Jewish educator, writer, and cultural activist, knew that world and wrote about it, and his writings provide a rare eyewitness account of Jewish life during the first half of the twentieth century."" ""Abramowicz was a witness to war, revolution, and major cultural transformations in the Jewish world. His essays, written and originally published in Yiddish between 1920 and 1955, document the local history of Lithuanian Jewry in rural and small-town settings and in the city of Vilna - the ""Jerusalem of Lithuania"" - which was a major center of East European Jewish intellectual and cultural life. They shed important light on the daily life of Jews and the flourishing of modern Yiddish culture in Eastern Europe during the early twentieth century and offer a personal perspective on the rise of Jewish radical politics.""--BOOK JACKET.",1999,10/13/2014 16:02:24,12/1/2014 19:21:47,,,,,,,,,,,,,Wayne State University Press,Detroit,English,,,,,Open WorldCat,,,,,,,"Abramowicz, Dina",,"Dobkin, Eva Zeitlin","Shandler, Jeffrey; Fishman, David E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartering,Religious Practice,Wares,Transportation,,,,,,,Russia,Poland,Lithuania,Prussia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1940,POINT(11724030.287269026 8747149.047572464)|POINT(2131226.7903913013 6785571.89784786)|POINT(2658451.372124075 7394820.259211762)|POINT(-10520399.536502874 5067645.7573955925)
jp_cite_00007,Q52ARSMV,book,1981,"Abrams, Alan E",Why Windsor?: an anecdotal history of the Jews of Windsor and Essex County,,0887530761  9780887530760,,,,,1981,10/13/2014 16:17:54,11/18/2014 16:04:02,,,,,,,,,,,,,Black Moss Press,"Windsor, Ont.",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wares,,,,,,,,,,"Windsor, Ontario","Essex County, Ontario",Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920,POINT(-9243565.678594554 5208272.801818295)|POINT(-9209986.25438898 5185569.1679050075)|POINT(11724030.287269026 8747149.047572464)
jp_cite_00008,N2F797N2,book,2006,"Abrams, Jeanne E",Jewish women pioneering the frontier trail a history in the American West,,9780814707272  0814707270,,,http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=219456,,2006,10/13/2014 16:24:36,11/18/2014 16:06:21,10/13/2014 16:24:36,,,,,,,,,,,,New York University Press,New York,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsequent Commercial Careers,Religious Practice,,,,,,,,,Russia,Poland,Germany,Breslau,"Baltimore, Maryland","New York, New York","Tucson, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooks, Julius","Drachman, Philip",,,,,,,,,,,,,,,,,,,1870-1920,POINT(11724030.287269026 8747149.047572464)|POINT(2131226.7903913013 6785571.89784786)|POINT(1163458.5521707046 6650655.040248428)|POINT(1896721.32923002 6640399.597484792)|POINT(-8528429.900246715 4763352.471949581)|POINT(-8238303.700046114 4970069.184605361)|POINT(-12348279.156051861 3792453.1531950277)
jp_cite_00009,8BFFCB3R,book,2009,"Abrams, Nathan",Caledonian Jews a study of seven small communities in Scotland,,9780786454327  0786454326,,,http://site.ebrary.com/id/10346621,"""This is the first full history of the Jews in Scotland who lived outside Edinburgh and Glasgow. The work focuses on seven communities from the borders to the Highlands. Drawn from numerous primary sources, the history of Jews in Scotland is traced from the earliest rumors to the present""--Provided by publisher.",2009,10/13/2014 16:42:40,11/18/2014 16:10:59,10/13/2014 16:42:40,,,,,,,,,,,,McFarland,"Jefferson, N.C.",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subsequent Commercial Careers,Transportation,Cultural Exchange,Religious Practice,Wares,,,,,,"Stirling, Scotland","California, Scotland","Greenock, Scotland","Falkirk, Scotland","Ayr, Scotland",Suwalk,"Memel, Lithuania","Edinburgh, Scotland","Cowdenbeath, Scotland","Dunfermline, Scotland",Russia,"Shetland Islands, Scotland","Aberdeen, Scotland","Glasgow, Scotland","Gorodea, Belarus","Minsk, Belarus",Prussia,,,,,,,,,,,,,,,,,,,,"Greenwald (Pochapovsky), Harry","Greenwald (Pochapovsky), Louis","Greenwald (Pochapovsky), Hyman","Greenwald (Pochapovsky), Woolf","Quint, Julius","Dorfar (Dorkar), Bernard","Levy, Philip",Brown family,"Dreyer, Samuel","Reelman, Louis","Rosenbloom, Daniel","Shinwell, Manny","Spilig, Gershon",,,,,,,,1840-1900,POINT(-438254.0260695566 7581647.084945864)|POINT(-418432.8226320869 7551604.644656718)|POINT(-531214.7175602124 7549756.132135566)|POINT(-421223.27943936246 7558789.421255307)|POINT(-515317.84899918264 7451377.535460481)|POINT(2552643.6544251265 7191305.542634782)|POINT(2353770.4156710566 7499575.362082344)|POINT(-354916.25890359323 7549115.073429378)|POINT(-372012.8176167351 7581224.6459305845)|POINT(-384291.69140799635 7572710.534914867)|POINT(11724030.287269026 8747149.047572464)|POINT(-140923.88521081262 8518614.729698261)|POINT(-233133.9605071029 7790781.292700398)|POINT(-473308.8788059002 7531436.417041781)|POINT(3015718.3535824735 6807666.003481344)|POINT(3068134.861267297 7152097.963086677)|POINT(-10520399.536502874 5067645.7573955925)
